user ,photo,created time,following or not,like type
2,234,13-04-2023 08:04,yes,fire
2,236,13-04-2023 08:04,no,clap
2,240,13-04-2023 08:04,yes,single tap
2,241,13-04-2023 08:04,yes,double tap
2,246,13-04-2023 08:04,no,heart emoji
2,247,13-04-2023 08:04,yes,thumbs up
3,2,13-04-2023 08:04,yes,laughing
3,7,13-04-2023 08:04,no,fire
3,9,13-04-2023 08:04,yes,clap
3,23,13-04-2023 08:04,yes,clap
3,26,13-04-2023 08:04,no,single tap
3,28,13-04-2023 08:04,yes,double tap
3,29,13-04-2023 08:04,yes,heart emoji
3,30,13-04-2023 08:04,no,thumbs up
3,36,13-04-2023 08:04,yes,laughing
3,38,13-04-2023 08:04,yes,fire
3,41,13-04-2023 08:04,no,clap
3,49,13-04-2023 08:04,yes,single tap
3,52,13-04-2023 08:04,yes,double tap
3,54,13-04-2023 08:04,no,heart emoji
3,56,13-04-2023 08:04,yes,thumbs up
3,58,13-04-2023 08:04,yes,laughing
3,61,13-04-2023 08:04,no,fire
3,62,13-04-2023 08:04,yes,clap
3,63,13-04-2023 08:04,yes,heart emoji
3,65,13-04-2023 08:04,no,thumbs up
3,66,13-04-2023 08:04,yes,laughing
3,67,13-04-2023 08:04,yes,fire
3,69,13-04-2023 08:04,no,clap
3,71,13-04-2023 08:04,yes,clap
3,73,13-04-2023 08:04,yes,heart emoji
3,75,13-04-2023 08:04,no,thumbs up
3,76,13-04-2023 08:04,yes,laughing
3,83,13-04-2023 08:04,yes,fire
3,92,13-04-2023 08:04,no,clap
3,93,13-04-2023 08:04,yes,heart emoji
3,100,13-04-2023 08:04,yes,thumbs up
3,101,13-04-2023 08:04,no,laughing
3,102,13-04-2023 08:04,yes,fire
3,103,13-04-2023 08:04,yes,clap
3,104,13-04-2023 08:04,no,heart emoji
3,105,13-04-2023 08:04,yes,thumbs up
3,108,13-04-2023 08:04,yes,laughing
3,109,13-04-2023 08:04,no,fire
3,111,13-04-2023 08:04,yes,clap
3,115,13-04-2023 08:04,yes,heart emoji
3,118,13-04-2023 08:04,no,thumbs up
3,119,13-04-2023 08:04,yes,laughing
3,128,13-04-2023 08:04,yes,fire
3,132,13-04-2023 08:04,no,clap
3,133,13-04-2023 08:04,yes,heart emoji
3,134,13-04-2023 08:04,yes,thumbs up
3,135,13-04-2023 08:04,no,laughing
3,145,13-04-2023 08:04,yes,fire
3,147,13-04-2023 08:04,yes,clap
3,150,13-04-2023 08:04,no,heart emoji
3,153,13-04-2023 08:04,yes,thumbs up
3,154,13-04-2023 08:04,yes,laughing
3,158,13-04-2023 08:04,no,fire
3,159,13-04-2023 08:04,yes,clap
3,160,13-04-2023 08:04,yes,heart emoji
3,162,13-04-2023 08:04,no,thumbs up
3,169,13-04-2023 08:04,yes,laughing
3,171,13-04-2023 08:04,yes,fire
3,172,13-04-2023 08:04,no,clap
3,174,13-04-2023 08:04,yes,heart emoji
3,182,13-04-2023 08:04,yes,thumbs up
3,186,13-04-2023 08:04,no,laughing
3,189,13-04-2023 08:04,yes,fire
3,199,13-04-2023 08:04,yes,clap
3,205,13-04-2023 08:04,no,heart emoji
3,209,13-04-2023 08:04,yes,thumbs up
3,211,13-04-2023 08:04,yes,laughing
3,212,13-04-2023 08:04,no,fire
3,223,13-04-2023 08:04,yes,clap
3,225,13-04-2023 08:04,yes,heart emoji
3,233,13-04-2023 08:04,no,thumbs up
3,234,13-04-2023 08:04,yes,laughing
3,235,13-04-2023 08:04,yes,fire
3,238,13-04-2023 08:04,no,clap
3,246,13-04-2023 08:04,yes,heart emoji
3,248,13-04-2023 08:04,yes,thumbs up
3,253,13-04-2023 08:04,no,laughing
3,256,13-04-2023 08:04,yes,fire
3,257,13-04-2023 08:04,yes,clap
4,3,13-04-2023 08:04,no,heart emoji
4,4,13-04-2023 08:04,yes,thumbs up
4,5,13-04-2023 08:04,yes,laughing
4,6,13-04-2023 08:04,no,fire
4,7,13-04-2023 08:04,yes,clap
4,10,13-04-2023 08:04,yes,heart emoji
4,17,13-04-2023 08:04,no,thumbs up
4,19,13-04-2023 08:04,yes,laughing
4,20,13-04-2023 08:04,yes,fire
4,22,13-04-2023 08:04,no,clap
4,24,13-04-2023 08:04,yes,heart emoji
4,29,13-04-2023 08:04,yes,thumbs up
4,31,13-04-2023 08:04,no,laughing
4,37,13-04-2023 08:04,yes,fire
4,39,13-04-2023 08:04,yes,clap
4,42,13-04-2023 08:04,no,heart emoji
4,43,13-04-2023 08:04,yes,thumbs up
4,46,13-04-2023 08:04,yes,laughing
4,47,13-04-2023 08:04,no,fire
4,48,13-04-2023 08:04,yes,clap
4,49,13-04-2023 08:04,yes,heart emoji
4,55,13-04-2023 08:04,no,thumbs up
4,63,13-04-2023 08:04,yes,laughing
4,64,13-04-2023 08:04,yes,fire
4,65,13-04-2023 08:04,no,clap
4,66,13-04-2023 08:04,yes,heart emoji
4,70,13-04-2023 08:04,yes,thumbs up
4,71,13-04-2023 08:04,no,laughing
4,76,13-04-2023 08:04,yes,fire
4,77,13-04-2023 08:04,yes,clap
4,82,13-04-2023 08:04,no,heart emoji
4,84,13-04-2023 08:04,yes,thumbs up
4,94,13-04-2023 08:04,yes,laughing
4,95,13-04-2023 08:04,no,fire
4,100,13-04-2023 08:04,yes,clap
4,101,13-04-2023 08:04,yes,heart emoji
4,102,13-04-2023 08:04,no,thumbs up
4,107,13-04-2023 08:04,yes,laughing
4,109,13-04-2023 08:04,yes,fire
4,110,13-04-2023 08:04,no,clap
4,113,13-04-2023 08:04,yes,heart emoji
4,114,13-04-2023 08:04,yes,thumbs up
4,115,13-04-2023 08:04,no,laughing
4,116,13-04-2023 08:04,yes,fire
4,118,13-04-2023 08:04,yes,clap
4,119,13-04-2023 08:04,no,heart emoji
4,120,13-04-2023 08:04,yes,thumbs up
4,121,13-04-2023 08:04,yes,laughing
4,124,13-04-2023 08:04,no,fire
4,127,13-04-2023 08:04,yes,clap
4,128,13-04-2023 08:04,yes,heart emoji
4,129,13-04-2023 08:04,no,thumbs up
4,130,13-04-2023 08:04,yes,laughing
4,131,13-04-2023 08:04,yes,fire
4,138,13-04-2023 08:04,no,clap
4,140,13-04-2023 08:04,yes,heart emoji
4,142,13-04-2023 08:04,yes,thumbs up
4,145,13-04-2023 08:04,no,laughing
4,146,13-04-2023 08:04,yes,fire
4,147,13-04-2023 08:04,yes,clap
4,150,13-04-2023 08:04,no,heart emoji
4,156,13-04-2023 08:04,yes,thumbs up
4,157,13-04-2023 08:04,yes,laughing
4,158,13-04-2023 08:04,no,fire
4,162,13-04-2023 08:04,yes,clap
4,166,13-04-2023 08:04,yes,heart emoji
4,172,13-04-2023 08:04,no,thumbs up
4,173,13-04-2023 08:04,yes,laughing
4,175,13-04-2023 08:04,yes,fire
4,180,13-04-2023 08:04,no,clap
4,181,13-04-2023 08:04,yes,heart emoji
4,191,13-04-2023 08:04,yes,thumbs up
4,197,13-04-2023 08:04,no,laughing
4,199,13-04-2023 08:04,yes,fire
4,201,13-04-2023 08:04,yes,clap
4,204,13-04-2023 08:04,no,heart emoji
4,209,13-04-2023 08:04,yes,thumbs up
4,210,13-04-2023 08:04,yes,laughing
4,211,13-04-2023 08:04,no,fire
4,219,13-04-2023 08:04,yes,clap
4,220,13-04-2023 08:04,yes,heart emoji
4,221,13-04-2023 08:04,no,thumbs up
4,225,13-04-2023 08:04,yes,laughing
4,235,13-04-2023 08:04,yes,fire
4,236,13-04-2023 08:04,no,clap
4,242,13-04-2023 08:04,yes,heart emoji
4,244,13-04-2023 08:04,yes,thumbs up
4,248,13-04-2023 08:04,no,laughing
4,249,13-04-2023 08:04,yes,fire
4,250,13-04-2023 08:04,yes,clap
4,252,13-04-2023 08:04,no,heart emoji
4,253,13-04-2023 08:04,yes,thumbs up
4,256,13-04-2023 08:04,yes,laughing
5,1,13-04-2023 08:04,no,fire
5,2,13-04-2023 08:04,yes,clap
5,3,13-04-2023 08:04,yes,heart emoji
5,4,13-04-2023 08:04,no,thumbs up
5,5,13-04-2023 08:04,yes,laughing
5,6,13-04-2023 08:04,yes,fire
5,7,13-04-2023 08:04,no,clap
5,8,13-04-2023 08:04,yes,heart emoji
5,9,13-04-2023 08:04,yes,thumbs up
5,10,13-04-2023 08:04,no,laughing
5,11,13-04-2023 08:04,yes,fire
5,12,13-04-2023 08:04,yes,clap
5,13,13-04-2023 08:04,no,heart emoji
5,14,13-04-2023 08:04,yes,thumbs up
5,15,13-04-2023 08:04,yes,laughing
5,16,13-04-2023 08:04,no,fire
5,17,13-04-2023 08:04,yes,clap
5,18,13-04-2023 08:04,yes,heart emoji
5,19,13-04-2023 08:04,no,thumbs up
5,20,13-04-2023 08:04,yes,laughing
5,21,13-04-2023 08:04,yes,fire
5,22,13-04-2023 08:04,no,clap
5,23,13-04-2023 08:04,yes,heart emoji
5,24,13-04-2023 08:04,yes,thumbs up
5,25,13-04-2023 08:04,no,laughing
5,26,13-04-2023 08:04,yes,fire
5,27,13-04-2023 08:04,yes,clap
5,28,13-04-2023 08:04,no,heart emoji
5,29,13-04-2023 08:04,yes,thumbs up
5,30,13-04-2023 08:04,yes,laughing
5,31,13-04-2023 08:04,no,fire
5,32,13-04-2023 08:04,yes,clap
5,33,13-04-2023 08:04,yes,heart emoji
5,34,13-04-2023 08:04,no,thumbs up
5,35,13-04-2023 08:04,yes,laughing
5,36,13-04-2023 08:04,yes,fire
5,37,13-04-2023 08:04,no,clap
5,38,13-04-2023 08:04,yes,heart emoji
5,39,13-04-2023 08:04,yes,thumbs up
5,40,13-04-2023 08:04,no,laughing
5,41,13-04-2023 08:04,yes,fire
5,42,13-04-2023 08:04,yes,clap
5,43,13-04-2023 08:04,no,heart emoji
5,44,13-04-2023 08:04,yes,thumbs up
5,45,13-04-2023 08:04,yes,laughing
5,46,13-04-2023 08:04,no,fire
5,47,13-04-2023 08:04,yes,clap
5,48,13-04-2023 08:04,yes,heart emoji
5,49,13-04-2023 08:04,no,thumbs up
5,50,13-04-2023 08:04,yes,laughing
5,51,13-04-2023 08:04,yes,fire
5,52,13-04-2023 08:04,no,clap
5,53,13-04-2023 08:04,yes,heart emoji
5,54,13-04-2023 08:04,yes,thumbs up
5,55,13-04-2023 08:04,no,laughing
5,56,13-04-2023 08:04,yes,fire
5,57,13-04-2023 08:04,yes,clap
5,58,13-04-2023 08:04,no,heart emoji
5,59,13-04-2023 08:04,yes,thumbs up
5,60,13-04-2023 08:04,yes,laughing
5,61,13-04-2023 08:04,no,fire
5,62,13-04-2023 08:04,yes,clap
5,63,13-04-2023 08:04,yes,heart emoji
5,64,13-04-2023 08:04,no,thumbs up
5,65,13-04-2023 08:04,yes,laughing
5,66,13-04-2023 08:04,yes,fire
5,67,13-04-2023 08:04,no,clap
5,68,13-04-2023 08:04,yes,heart emoji
5,69,13-04-2023 08:04,yes,thumbs up
5,70,13-04-2023 08:04,no,laughing
5,71,13-04-2023 08:04,yes,fire
5,72,13-04-2023 08:04,yes,clap
5,73,13-04-2023 08:04,no,heart emoji
5,74,13-04-2023 08:04,yes,thumbs up
5,75,13-04-2023 08:04,yes,laughing
5,76,13-04-2023 08:04,no,fire
5,77,13-04-2023 08:04,yes,clap
5,78,13-04-2023 08:04,yes,heart emoji
5,79,13-04-2023 08:04,no,thumbs up
5,80,13-04-2023 08:04,yes,laughing
5,81,13-04-2023 08:04,yes,fire
5,82,13-04-2023 08:04,no,clap
5,83,13-04-2023 08:04,yes,heart emoji
5,84,13-04-2023 08:04,yes,thumbs up
5,85,13-04-2023 08:04,no,laughing
5,86,13-04-2023 08:04,yes,fire
5,87,13-04-2023 08:04,yes,clap
5,88,13-04-2023 08:04,no,heart emoji
5,89,13-04-2023 08:04,yes,thumbs up
5,90,13-04-2023 08:04,yes,laughing
5,91,13-04-2023 08:04,no,fire
5,92,13-04-2023 08:04,yes,clap
5,93,13-04-2023 08:04,yes,heart emoji
5,94,13-04-2023 08:04,no,thumbs up
5,95,13-04-2023 08:04,yes,laughing
5,96,13-04-2023 08:04,yes,fire
5,97,13-04-2023 08:04,no,clap
5,98,13-04-2023 08:04,yes,heart emoji
5,99,13-04-2023 08:04,yes,thumbs up
5,100,13-04-2023 08:04,no,laughing
5,101,13-04-2023 08:04,yes,fire
5,102,13-04-2023 08:04,yes,clap
5,103,13-04-2023 08:04,no,heart emoji
5,104,13-04-2023 08:04,yes,thumbs up
5,105,13-04-2023 08:04,yes,laughing
5,106,13-04-2023 08:04,no,fire
5,107,13-04-2023 08:04,yes,clap
5,108,13-04-2023 08:04,yes,heart emoji
5,109,13-04-2023 08:04,no,thumbs up
5,110,13-04-2023 08:04,yes,laughing
5,111,13-04-2023 08:04,yes,fire
5,112,13-04-2023 08:04,no,clap
5,113,13-04-2023 08:04,yes,heart emoji
5,114,13-04-2023 08:04,yes,thumbs up
5,115,13-04-2023 08:04,no,laughing
5,116,13-04-2023 08:04,yes,fire
5,117,13-04-2023 08:04,yes,clap
5,118,13-04-2023 08:04,no,heart emoji
5,119,13-04-2023 08:04,yes,thumbs up
5,120,13-04-2023 08:04,yes,laughing
5,121,13-04-2023 08:04,no,fire
5,122,13-04-2023 08:04,yes,clap
5,123,13-04-2023 08:04,yes,heart emoji
5,124,13-04-2023 08:04,no,thumbs up
5,125,13-04-2023 08:04,yes,laughing
5,126,13-04-2023 08:04,yes,fire
5,127,13-04-2023 08:04,no,clap
5,128,13-04-2023 08:04,yes,heart emoji
5,129,13-04-2023 08:04,yes,thumbs up
5,130,13-04-2023 08:04,no,laughing
5,131,13-04-2023 08:04,yes,fire
5,132,13-04-2023 08:04,yes,clap
5,133,13-04-2023 08:04,no,heart emoji
5,134,13-04-2023 08:04,yes,thumbs up
5,135,13-04-2023 08:04,yes,laughing
5,136,13-04-2023 08:04,no,fire
5,137,13-04-2023 08:04,yes,clap
5,138,13-04-2023 08:04,yes,heart emoji
5,139,13-04-2023 08:04,no,thumbs up
5,140,13-04-2023 08:04,yes,laughing
5,141,13-04-2023 08:04,yes,fire
5,142,13-04-2023 08:04,no,clap
5,143,13-04-2023 08:04,yes,heart emoji
5,144,13-04-2023 08:04,yes,thumbs up
5,145,13-04-2023 08:04,no,laughing
5,146,13-04-2023 08:04,yes,fire
5,147,13-04-2023 08:04,yes,clap
5,148,13-04-2023 08:04,no,heart emoji
5,149,13-04-2023 08:04,yes,thumbs up
5,150,13-04-2023 08:04,yes,laughing
5,151,13-04-2023 08:04,no,fire
5,152,13-04-2023 08:04,yes,clap
5,153,13-04-2023 08:04,yes,heart emoji
5,154,13-04-2023 08:04,no,thumbs up
5,155,13-04-2023 08:04,yes,laughing
5,156,13-04-2023 08:04,yes,fire
5,157,13-04-2023 08:04,no,clap
5,158,13-04-2023 08:04,yes,heart emoji
5,159,13-04-2023 08:04,yes,thumbs up
5,160,13-04-2023 08:04,no,laughing
5,161,13-04-2023 08:04,yes,fire
5,162,13-04-2023 08:04,yes,clap
5,163,13-04-2023 08:04,no,heart emoji
5,164,13-04-2023 08:04,yes,thumbs up
5,165,13-04-2023 08:04,yes,laughing
5,166,13-04-2023 08:04,no,fire
5,167,13-04-2023 08:04,yes,clap
5,168,13-04-2023 08:04,yes,heart emoji
5,169,13-04-2023 08:04,no,thumbs up
5,170,13-04-2023 08:04,yes,laughing
5,171,13-04-2023 08:04,yes,fire
5,172,13-04-2023 08:04,no,clap
5,173,13-04-2023 08:04,yes,heart emoji
5,174,13-04-2023 08:04,yes,thumbs up
5,175,13-04-2023 08:04,no,laughing
5,176,13-04-2023 08:04,yes,fire
5,177,13-04-2023 08:04,yes,clap
5,178,13-04-2023 08:04,no,heart emoji
5,179,13-04-2023 08:04,yes,thumbs up
5,180,13-04-2023 08:04,yes,laughing
5,181,13-04-2023 08:04,no,fire
5,182,13-04-2023 08:04,yes,clap
5,183,13-04-2023 08:04,yes,heart emoji
5,184,13-04-2023 08:04,no,thumbs up
5,185,13-04-2023 08:04,yes,laughing
5,186,13-04-2023 08:04,yes,fire
5,187,13-04-2023 08:04,no,clap
5,188,13-04-2023 08:04,yes,heart emoji
5,189,13-04-2023 08:04,yes,thumbs up
5,190,13-04-2023 08:04,no,laughing
5,191,13-04-2023 08:04,yes,fire
5,192,13-04-2023 08:04,yes,clap
5,193,13-04-2023 08:04,no,heart emoji
5,194,13-04-2023 08:04,yes,thumbs up
5,195,13-04-2023 08:04,yes,laughing
5,196,13-04-2023 08:04,no,fire
5,197,13-04-2023 08:04,yes,clap
5,198,13-04-2023 08:04,yes,heart emoji
5,199,13-04-2023 08:04,no,thumbs up
5,200,13-04-2023 08:04,yes,laughing
5,201,13-04-2023 08:04,yes,fire
5,202,13-04-2023 08:04,no,clap
5,203,13-04-2023 08:04,yes,heart emoji
5,204,13-04-2023 08:04,yes,thumbs up
5,205,13-04-2023 08:04,no,laughing
5,206,13-04-2023 08:04,yes,fire
5,207,13-04-2023 08:04,yes,clap
5,208,13-04-2023 08:04,no,heart emoji
5,209,13-04-2023 08:04,yes,thumbs up
5,210,13-04-2023 08:04,yes,laughing
5,211,13-04-2023 08:04,no,fire
5,212,13-04-2023 08:04,yes,clap
5,213,13-04-2023 08:04,yes,heart emoji
5,214,13-04-2023 08:04,no,thumbs up
5,215,13-04-2023 08:04,yes,laughing
5,216,13-04-2023 08:04,yes,fire
5,217,13-04-2023 08:04,no,clap
5,218,13-04-2023 08:04,yes,heart emoji
5,219,13-04-2023 08:04,yes,thumbs up
5,220,13-04-2023 08:04,no,laughing
5,221,13-04-2023 08:04,yes,fire
5,222,13-04-2023 08:04,yes,clap
5,223,13-04-2023 08:04,no,heart emoji
5,224,13-04-2023 08:04,yes,thumbs up
5,225,13-04-2023 08:04,yes,laughing
5,226,13-04-2023 08:04,no,fire
5,227,13-04-2023 08:04,yes,clap
5,228,13-04-2023 08:04,yes,heart emoji
5,229,13-04-2023 08:04,no,thumbs up
5,230,13-04-2023 08:04,yes,laughing
5,231,13-04-2023 08:04,yes,fire
5,232,13-04-2023 08:04,no,clap
5,233,13-04-2023 08:04,yes,heart emoji
5,234,13-04-2023 08:04,yes,thumbs up
5,235,13-04-2023 08:04,no,laughing
5,236,13-04-2023 08:04,yes,fire
5,237,13-04-2023 08:04,yes,clap
5,238,13-04-2023 08:04,no,heart emoji
5,239,13-04-2023 08:04,yes,thumbs up
5,240,13-04-2023 08:04,yes,laughing
5,241,13-04-2023 08:04,no,fire
5,242,13-04-2023 08:04,yes,clap
5,243,13-04-2023 08:04,yes,heart emoji
5,244,13-04-2023 08:04,no,thumbs up
5,245,13-04-2023 08:04,yes,laughing
5,246,13-04-2023 08:04,yes,fire
5,247,13-04-2023 08:04,no,clap
5,248,13-04-2023 08:04,yes,heart emoji
5,249,13-04-2023 08:04,yes,thumbs up
5,250,13-04-2023 08:04,no,laughing
5,251,13-04-2023 08:04,yes,fire
5,252,13-04-2023 08:04,yes,clap
5,253,13-04-2023 08:04,no,heart emoji
5,254,13-04-2023 08:04,yes,thumbs up
5,255,13-04-2023 08:04,yes,laughing
5,256,13-04-2023 08:04,no,fire
5,257,13-04-2023 08:04,yes,clap
6,2,13-04-2023 08:04,yes,heart emoji
6,5,13-04-2023 08:04,no,thumbs up
6,9,13-04-2023 08:04,yes,laughing
6,11,13-04-2023 08:04,yes,fire
6,13,13-04-2023 08:04,no,clap
6,19,13-04-2023 08:04,yes,heart emoji
6,24,13-04-2023 08:04,yes,thumbs up
6,28,13-04-2023 08:04,no,laughing
6,29,13-04-2023 08:04,yes,fire
6,30,13-04-2023 08:04,yes,clap
6,36,13-04-2023 08:04,no,heart emoji
6,37,13-04-2023 08:04,yes,thumbs up
6,40,13-04-2023 08:04,yes,laughing
6,41,13-04-2023 08:04,no,fire
6,43,13-04-2023 08:04,yes,clap
6,45,13-04-2023 08:04,yes,heart emoji
6,47,13-04-2023 08:04,no,thumbs up
6,50,13-04-2023 08:04,yes,laughing
6,55,13-04-2023 08:04,yes,fire
6,56,13-04-2023 08:04,no,clap
6,57,13-04-2023 08:04,yes,heart emoji
6,59,13-04-2023 08:04,yes,thumbs up
6,61,13-04-2023 08:04,no,laughing
6,64,13-04-2023 08:04,yes,fire
6,66,13-04-2023 08:04,yes,clap
6,68,13-04-2023 08:04,no,heart emoji
6,75,13-04-2023 08:04,yes,thumbs up
6,78,13-04-2023 08:04,yes,laughing
6,80,13-04-2023 08:04,no,fire
6,82,13-04-2023 08:04,yes,clap
6,84,13-04-2023 08:04,yes,heart emoji
6,87,13-04-2023 08:04,no,thumbs up
6,91,13-04-2023 08:04,yes,laughing
6,93,13-04-2023 08:04,yes,fire
6,96,13-04-2023 08:04,no,clap
6,97,13-04-2023 08:04,yes,heart emoji
6,98,13-04-2023 08:04,yes,thumbs up
6,99,13-04-2023 08:04,no,laughing
6,100,13-04-2023 08:04,yes,fire
6,104,13-04-2023 08:04,yes,clap
6,107,13-04-2023 08:04,no,heart emoji
6,109,13-04-2023 08:04,yes,thumbs up
6,111,13-04-2023 08:04,yes,laughing
6,117,13-04-2023 08:04,no,fire
6,118,13-04-2023 08:04,yes,clap
6,119,13-04-2023 08:04,yes,heart emoji
6,120,13-04-2023 08:04,no,thumbs up
6,122,13-04-2023 08:04,yes,laughing
6,123,13-04-2023 08:04,yes,fire
6,126,13-04-2023 08:04,no,clap
6,127,13-04-2023 08:04,yes,heart emoji
6,133,13-04-2023 08:04,yes,thumbs up
6,142,13-04-2023 08:04,no,laughing
6,144,13-04-2023 08:04,yes,fire
6,145,13-04-2023 08:04,yes,clap
6,149,13-04-2023 08:04,no,heart emoji
6,156,13-04-2023 08:04,yes,thumbs up
6,163,13-04-2023 08:04,yes,laughing
6,172,13-04-2023 08:04,no,fire
6,173,13-04-2023 08:04,yes,clap
6,178,13-04-2023 08:04,yes,heart emoji
6,181,13-04-2023 08:04,no,thumbs up
6,183,13-04-2023 08:04,yes,laughing
6,187,13-04-2023 08:04,yes,fire
6,197,13-04-2023 08:04,no,clap
6,207,13-04-2023 08:04,yes,heart emoji
6,217,13-04-2023 08:04,yes,thumbs up
6,220,13-04-2023 08:04,no,laughing
6,221,13-04-2023 08:04,yes,fire
6,223,13-04-2023 08:04,yes,clap
6,230,13-04-2023 08:04,no,heart emoji
6,231,13-04-2023 08:04,yes,thumbs up
6,233,13-04-2023 08:04,yes,laughing
6,237,13-04-2023 08:04,no,fire
6,239,13-04-2023 08:04,yes,clap
6,241,13-04-2023 08:04,yes,heart emoji
6,244,13-04-2023 08:04,no,thumbs up
6,245,13-04-2023 08:04,yes,laughing
6,249,13-04-2023 08:04,yes,fire
6,252,13-04-2023 08:04,no,clap
6,254,13-04-2023 08:04,yes,heart emoji
6,255,13-04-2023 08:04,yes,thumbs up
8,2,13-04-2023 08:04,no,laughing
8,16,13-04-2023 08:04,yes,fire
8,22,13-04-2023 08:04,yes,clap
8,26,13-04-2023 08:04,no,heart emoji
8,29,13-04-2023 08:04,yes,thumbs up
8,30,13-04-2023 08:04,yes,laughing
8,32,13-04-2023 08:04,no,fire
8,35,13-04-2023 08:04,yes,clap
8,36,13-04-2023 08:04,yes,heart emoji
8,38,13-04-2023 08:04,no,thumbs up
8,42,13-04-2023 08:04,yes,laughing
8,45,13-04-2023 08:04,yes,fire
8,50,13-04-2023 08:04,no,clap
8,55,13-04-2023 08:04,yes,heart emoji
8,57,13-04-2023 08:04,yes,thumbs up
8,59,13-04-2023 08:04,no,laughing
8,60,13-04-2023 08:04,yes,fire
8,64,13-04-2023 08:04,yes,clap
8,66,13-04-2023 08:04,no,heart emoji
8,70,13-04-2023 08:04,yes,thumbs up
8,74,13-04-2023 08:04,yes,laughing
8,75,13-04-2023 08:04,no,fire
8,76,13-04-2023 08:04,yes,clap
8,84,13-04-2023 08:04,yes,heart emoji
8,89,13-04-2023 08:04,no,thumbs up
8,97,13-04-2023 08:04,yes,laughing
8,98,13-04-2023 08:04,yes,fire
8,100,13-04-2023 08:04,no,clap
